,username,text,created_at
0,abbgroupnews,"New ABB E-mobility home charging solution helps drivers realize their sustainable mobility goals.
Read more: https://t.co/SxPrbxo5DB

#ABB #electricvehicles #emobility #sustainability https://t.co/aY28Cs6aQY",2023-01-03T15:18:41.000Z
1,abbgroupnews,"ABB #technology to facilitate #energyefficiency savings in Formula E. ⚡️🏎️
ABB Ability™ OPTIMAX® energy management #software to be fully implemented in Season 9.
Read more: https://t.co/MwE3mzSgqT
#ABBFormulaE #Motorsport https://t.co/cYRvPaNcPV",2023-01-10T09:57:29.000Z
2,abbgroupnews,"Better decisions for a greener data center! How #ABB energy solutions help Kangsheng keep the #data flowing 24/7: https://t.co/VFRVMz0Ni7
#betterdecisions #ABB_Ability #sustainability #datacenter https://t.co/hKdzGiNxXB",2023-01-11T10:01:06.000Z
3,abbgroupnews,"ABB Formula E Season 9 goes green in Mexico!
The new Gen3 era of the ABB FIA Formula E World Championship, with #ABB as Official Charging Partner, gets underway this weekend as the series returns to Mexico City for the 1st round of Season 9.⚡️🏎️
Read more: https://t.co/qQhDnBjI4B https://t.co/vpnIxP0kB4",2023-01-12T09:09:45.000Z
4,abbgroupnews,"The #ABB Decoded #podcast with Frank Muehlon is out now! ABB E-mobility's CEO discusses #EV charging #technology development and the challenges of producing a charger for a highly pressured #motorsport environment such as #ABBFormulaE.
Listen today! 🎧👉 https://t.co/9rJWPJiYtI https://t.co/vLBWDJiHWm",2023-01-13T09:41:43.000Z
5,abbgroupnews,"More speed, more power and more efficiency ⚡️🏎️ #ABBFormulaE drivers are preparing themselves for the challenge of driving the new Gen3 race car around the Autodromo Hermanos Rodriguez track in Mexico, one of the fastest courses in the @FIAFormulaE series. https://t.co/F5Di1SMnsj https://t.co/imhVaSGZZP",2023-01-13T13:44:19.000Z
6,abbgroupnews,"An electrifying start to #ABBFormulaE season 9 and many congratulations to @JakeDennis19 of @AndrettiFE for his win at the Mexico E-Prix! 🏁🏆Check out some of the highlights from the race weekend 👇
#ABB #motorsport #electricvehicles #sustainability #MexicoCityEPrix https://t.co/lApKAb3ULx",2023-01-16T09:21:34.000Z
7,abbgroupnews,"'The #EV transition is in full swing. It's not so much a question of whether this market will take off, it's more a question of how fast will it go..' - says Frank Muehlon, CEO of ABB E-mobility.  
Listen to the latest episode of the #ABB Decoded #podcast: https://t.co/9rJWPJiqEa https://t.co/chDVpEe7MN",2023-01-17T11:00:00.000Z
8,abbgroupnews,"ABB sells Power Conversion division to AcBel Polytech Inc. for $505 million
Read more: https://t.co/XklPlHe9eT https://t.co/DDuCMDMJxR",2023-01-20T07:44:55.000Z
9,abbgroupnews,"“If someone had told me in 2004 that in 12 or 15 years I would drive electric, and my car would have a reach of almost 400 kms, I would have said “dream on,’” says Frank Muehlon, CEO of #ABB E-mobility, in our latest #podcast. Listen today!🎧👉 https://t.co/9rJWPJiqEa #emobility https://t.co/0PZpF6bgHP",2023-01-20T12:52:36.000Z
10,abbgroupnews,"ABB Formula E lights up sustainable progress in Diriyah.
The ABB @FIAFormulaE World Championship returns to Diriyah, Saudi Arabia, this weekend, with back-to-back night races - a test of energy management and strategy.
Read more: https://t.co/aDUdCGwNPY
#ABBFormulaE #Motorsport https://t.co/Fi2jDiXmQi",2023-01-25T09:24:29.000Z
11,abbgroupnews,"ABB E-mobility delivers millionth EV charger!
Thank you to all our customers and partners for the continuous collaboration as we continue to shape the future of #emobility together!
Read more: https://t.co/UTaMKo5WXr
#electricvehicles #sustainability https://t.co/POpErJwe5L",2023-01-30T11:10:12.000Z
