,username,created_at,cleaned_text
0,abbgroupnews,2023-01-03T15:18:41.000Z,emobility home charging solution help driver realize sustainable mobility goal read
1,abbgroupnews,2023-01-10T09:57:29.000Z,facilitate saving formula ability optimax energy management fully implemented season read mzsgqt
2,abbgroupnews,2023-01-11T10:01:06.000Z,better decision greener data center energy solution help kangsheng keep flowing
3,abbgroupnews,2023-01-12T09:09:45.000Z,formula season go green mexico formula world championship official charging partner get underway weekend series return mexico city round season read
4,abbgroupnews,2023-01-13T09:41:43.000Z,decoded frank muehlon emobilitys discus charging development challenge producing charger highly pressured environment listen
5,abbgroupnews,2023-01-13T13:44:19.000Z,speed power efficiency driver preparing challenge driving race around autodromo hermanos rodriguez track mexico fastest course series
6,abbgroupnews,2023-01-16T09:21:34.000Z,electrifying start season many congratulation mexico eprix check highlight race weekend
7,abbgroupnews,2023-01-17T11:00:00.000Z,transition full swing much question whether market take question fast say frank muehlon emobility listen latest episode decoded rjwpjiqea
8,abbgroupnews,2023-01-20T07:44:55.000Z,sell power conversion division acbel polytech read
9,abbgroupnews,2023-01-20T12:52:36.000Z,someone told year drive electric reach said dream say frank muehlon emobility latest listen rjwpjiqea pzpf bghp
10,abbgroupnews,2023-01-25T09:24:29.000Z,formula light sustainable progress diriyah world championship return diriyah saudi arabia weekend backtoback night race test energy management strategy read jdixmqi
11,abbgroupnews,2023-01-30T11:10:12.000Z,emobility delivers millionth charger thank customer partner continuous collaboration continue shape future read
12,abbgroupnews,2023-01-31T07:32:57.000Z,smart energy management future learn digital solution deliver reliable uptime improved efficiency oppo world largest manufacturer mobile device growing global player
13,abbgroupnews,2023-02-01T07:12:35.000Z,emobility raise additional investor second final round preipo private placement read
14,abbgroupnews,2023-02-02T05:59:19.000Z,result performance improvement longterm margin target achieved read fvcrt
15,abbgroupnews,2023-02-02T08:30:00.000Z,ending year björn rosengren discus takeaway fourth quarter read nvuuo
16,abbgroupnews,2023-02-03T11:00:00.000Z,know used industry consumed electric motor system many year inefficient find inverter duty motor help improve
17,abbgroupnews,2023-02-06T08:19:26.000Z,publishes edition company technical journal review issue cover technical breakthrough across company read xirrn kxbb
18,abbgroupnews,2023-02-08T08:25:08.000Z,pearl sustainable transportation debut india read mebuhmxr drtf
19,abbgroupnews,2023-02-09T09:32:20.000Z,decoded celebrating edition corporate technical journal chief editor andreas moglestue share aspect journal past discus come future listen
20,abbgroupnews,2023-02-10T13:15:00.000Z,corporate journal come vogue beginning century company started advertise service capability andreas moglestue chief editor review listen full rjwpjiqea ynhfnwmc
21,abbgroupnews,2023-02-13T08:16:42.000Z,weekend allelectric racing congratulation jeaneric vergne forget watch highlight iugs
22,abbgroupnews,2023-02-14T05:45:00.000Z,review go hand glove review chief editor andreas moglestue find history corporate journal recent technological development full episode rjwpjiqea cvcia
23,abbgroupnews,2023-02-22T13:59:04.000Z,london tallest building offer exceptional amenity breath taking view designed building offer something special enter watch frozen music episode hkrbq
24,abbgroupnews,2023-02-24T06:10:08.000Z,published invitation annual general meeting held read detail invitation
25,abbgroupnews,2023-02-27T11:18:17.000Z,sale hitting record level marc segura president making several prediction trend robotics read
26,abbgroupnews,2023-03-08T09:41:00.000Z,invests direct current startup direct energy partner accelerate transformation read iwoj
27,abbgroupnews,2023-03-16T06:29:57.000Z,research reveals energy concern impacting business competitiveness workforce read
28,abbgroupnews,2023-03-16T12:05:46.000Z,expand factory expansion featuring latest automated advanced process open read
29,abbgroupnews,2023-03-21T11:00:00.000Z,behind perfect coffee atilla brazil biggest manufacturer midsize roaster drive hardware enabling millisecondaccurate control coffee roasted leading better ever hdsdp
30,abbgroupnews,2023-03-21T20:00:00.000Z,great transfer racing road great part stoffel vandoorne ambassador reigning world champion describes allelectric championship testing ground
31,abbgroupnews,2023-03-22T11:09:46.000Z,formula showcase motorsport crazy read gvvwrc
32,abbgroupnews,2023-03-23T12:14:27.000Z,shareholder approve proposal annual general meeting read bdhcyejik
33,abbgroupnews,2023-03-30T19:00:02.000Z,especially car say stoffel vandoorne ambassador reigning world champion latest episode decoded clever system help drive rjwpjiqea
34,abbgroupnews,2023-03-31T05:38:10.000Z,launch share buyback program read wcnbb qxme
35,abbgroupnews,2023-03-31T07:40:28.000Z,podcast listened current world champion stoffel vandoorne talk technology transfer race track road rjwpjiqea
36,abbgroupnews,2023-04-04T12:07:46.000Z,invests investment reflects increased customer demand product read xqbi ytyacv
37,abbgroupnews,2023-04-14T10:00:03.000Z,know technology help turn wastewater clean learn sensor measure dissolved oxygen level treatment process helping make water available
38,abbgroupnews,2023-04-14T12:00:01.000Z,world go motor higher efficiency saving front seat come seeing impact higher efficiency reducing emission tarak mehta latest beeqvy
39,abbgroupnews,2023-04-19T12:40:51.000Z,formula brings revolution land autobahn kdoyjcyr dppi ektseex
40,abbgroupnews,2023-04-20T08:56:01.000Z,formula showcase excellence world earth nhhamz ikfpg
41,abbgroupnews,2023-04-20T10:58:49.000Z,icon plus strengthen collaboration developing charging service read
42,abbgroupnews,2023-04-25T05:04:36.000Z,result start year read qoav gymg
43,abbgroupnews,2023-04-25T05:19:25.000Z,plan delist american depositary receipt york stock exchange read
44,abbgroupnews,2023-04-25T08:53:45.000Z,timo ihamuotila frame market picture quarter read pqkx oddip
45,abbgroupnews,2023-05-03T08:43:05.000Z,completes acquisition siemens voltage nema motor business read
46,abbgroupnews,2023-05-03T08:56:26.000Z,formula brings pace power allelectric racing monte carlo read image dppi wcxwbpr
47,abbgroupnews,2023-05-03T20:09:22.000Z,find digital solution help largest maker meet expanded production target akagyk
48,abbgroupnews,2023-05-04T12:21:57.000Z,recognize ontrack progress award read
49,abbgroupnews,2023-05-05T10:22:06.000Z,decoded helping solve global scarcity crisis discover
50,abbgroupnews,2023-05-08T06:41:06.000Z,collaborates lhyfe skyborn europe largest renewable project read zpxtjl
51,abbgroupnews,2023-05-11T06:22:35.000Z,digital solution helped sugar expand mill reducing maintenance cost discover neyev ksbva
52,abbgroupnews,2023-05-12T07:13:37.000Z,finland major plant located freezing arctic circle ‘greenhouse free thanks turnkey generator circuit breaker retrofit read qiad
53,abbgroupnews,2023-05-24T10:30:00.000Z,know half zurich resident exercise hour center lake walensee swiss alp newly renovated sportzentrum kerenzerberg watch episode frozen music
54,abbgroupnews,2023-05-25T05:42:28.000Z,better decision find swedish factory used energy appraisal boost motor efficiency ssgq
55,abbgroupnews,2023-05-31T06:11:33.000Z,unveils revolutionary propulsion concept significantly increase ship efficiency read mbyw
56,abbgroupnews,2023-05-31T10:00:01.000Z,making perfect snow le energy world winner discover hvuapgn
57,abbgroupnews,2023-06-01T08:08:36.000Z,help ensure sustainable power formula race title sponsor read zbaf dppi
58,abbgroupnews,2023-06-01T08:23:22.000Z,oskar find detail tjmmiak
59,abbgroupnews,2023-06-01T13:05:08.000Z,formula charge jakarta tworace showcase cuttingedge sustainable read
60,abbgroupnews,2023-06-02T08:21:54.000Z,decoded energy cost drive efficiency listen
61,abbgroupnews,2023-06-03T05:21:56.000Z,firstever pole position guenther maserati tune cest race action dppi
62,abbgroupnews,2023-06-03T07:18:22.000Z,thrilled honored round jakarta mark race proud partner race forefront driving sustainable mobility hrnun
63,abbgroupnews,2023-06-03T09:06:11.000Z,pascal wehrlein take third season race
64,abbgroupnews,2023-06-04T05:16:24.000Z,second pole position günther ahead race tune cest action
65,abbgroupnews,2023-06-04T09:06:35.000Z,congratulation günther maserati win race dominating pole position dppi
66,abbgroupnews,2023-06-06T06:31:28.000Z,emobility unveils next evolution fleet charging solution read fiou npooq
67,abbgroupnews,2023-06-07T11:36:11.000Z,smart farming pioneer digital solution keep condition sustainable bountiful crop find hyvirmvnc enbbzb
68,abbgroupnews,2023-06-12T10:05:56.000Z,announcing acquisition pioneer smart home product based matter thread deal make leader gamechanging technology global demand retrofitting grows read mkmojmfj
69,abbgroupnews,2023-06-13T06:09:46.000Z,world remote automates amazon reforestation project pilot project robotics nonprofit organization junglekeepers demonstrates potential cloud reversing deforestation read txmuhldeq
70,abbgroupnews,2023-06-13T12:24:59.000Z,rapid rate amazon global challenge resulting loss critical increase carbon emission help turn tide find txmuhldeq
71,abbgroupnews,2023-06-14T06:02:31.000Z,estimate offshore capacity increase meet goal read uffdpa
72,abbgroupnews,2023-06-14T10:00:10.000Z,introducing ability building analyzer know reduce energy consumption emission building find rvwsb
73,abbgroupnews,2023-06-15T10:00:03.000Z,ability solution enable greener cement cement producer votorantim reduces emission efficient process discover wrmz
74,abbgroupnews,2023-06-15T10:30:00.000Z,additional farm need come online next year reach offshore wind target analysis show read
75,abbgroupnews,2023-06-16T06:56:00.000Z,help customer partner address challenge morten wierod explaining energy audit identify waste saving opportunity listen
